#
# Table 4: Values of unadjusted daily potential evapotranspiration (mm) for different mean temperatures (degrees C) and I values
#
# This table based on Sellinger, C.E., 1996, Computer program for estimating evapotranspiration using the Thornthwaite method: National Oceanic and Atmospheric
#                     Administration Technical Memorandum ERL GLERL-101, 9p.
#                     accessed at ftp://ftp.glerl.noaa.gov/publications/tech_reports/glerl-101/tm-101.pdf
#
# Original table is in Thornthwaite, C.W. and Mather, J.R., 1957, Instructions and Tables for Computing Potential Evapotranspiration
#                      and the Water Balance: Publications in Climatology, v. 10, no. 3, p. 1–104.
#
Temp_degC    I25.00   I27.50   I30.00   I32.50   I35.00   I37.50   I40.00   I42.50   I45.00   I47.50   I50.00   I52.50   I55.00   I57.50   I60.00   I62.50   I65.00   I67.50   I70.00   I72.50   I75.10   I77.50   I80.00   I82.50   I85.00   I87.50   I90.00   I92.50   I95.00   I97.50  I100.00  I102.50  I105.00  I107.50  I110.00  I112.50  I115.00  I117.50  I120.00  I122.50  I125.00  I127.50  I130.00  I132.50  I135.00  I137.50  I140.00
  16.75      3.00    2.90    2.90    2.80    2.80    2.70    2.70    2.60    2.60    2.50    2.50    2.50    2.40    2.30    2.30    2.20    2.20    2.10    2.10    2.10    2.10    2.00    2.00    2.00    1.90    1.90    1.90    1.80    1.80    1.70    1.70    1.60    1.60    1.50    1.50    1.50    1.40    1.30    1.30    1.20    1.20    1.20    1.20    1.10    1.00    1.00    1.00
  17.00      3.00    3.00    2.90    2.90    2.80    2.80    2.70    2.70    2.60    2.60    2.60    2.50    2.50    2.40    2.40    2.30    2.30    2.20    2.20    2.10    2.10    2.00    2.00    2.00    2.00    1.90    1.90    1.80    1.80    1.80    1.70    1.70    1.70    1.60    1.60    1.50    1.50    1.40    1.30    1.30    1.30    1.30    1.20    1.20    1.10    1.00    1.00
  17.25      3.10    3.00    2.90    2.90    2.90    2.80    2.80    2.70    2.70    2.60    2.60    2.60    2.50    2.50    2.40    2.40    2.30    2.30    2.20    2.20    2.20    2.10    2.10    2.10    2.10    2.00    2.00    1.90    1.90    1.80    1.80    1.70    1.70    1.60    1.60    1.60    1.60    1.50    1.40    1.30    1.30    1.30    1.30    1.20    1.20    1.10    1.10
  17.50      3.10    3.00    3.00    3.00    2.90    2.90    2.80    2.80    2.70    2.70    2.70    2.60    2.60    2.50    2.50    2.40    2.40    2.30    2.30    2.30    2.20    2.20    2.20    2.10    2.10    2.00    2.00    2.00    1.90    1.90    1.80    1.80    1.70    1.70    1.70    1.60    1.60    1.50    1.50    1.40    1.40    1.40    1.30    1.30    1.20    1.20    1.20
  17.75      3.20    3.10    3.00    3.00    3.00    2.90    2.90    2.80    2.80    2.80    2.70    2.70    2.60    2.60    2.50    2.50    2.40    2.40    2.40    2.30    2.30    2.30    2.20    2.20    2.20    2.10    2.10    2.00    2.00    1.90    1.90    1.80    1.80    1.80    1.80    1.70    1.70    1.60    1.50    1.50    1.50    1.40    1.40    1.40    1.30    1.20    1.20
  18.00      3.20    3.10    3.10    3.10    3.00    3.00    2.90    2.90    2.90    2.80    2.80    2.70    2.70    2.60    2.60    2.50    2.50    2.40    2.40    2.40    2.30    2.30    2.30    2.30    2.30    2.20    2.10    2.10    2.10    2.00    2.00    1.90    1.90    1.80    1.80    1.80    1.80    1.70    1.60    1.50    1.50    1.50    1.50    1.50    1.40    1.30    1.30
  18.25      3.20    3.20    3.10    3.10    3.10    3.00    3.00    2.90    2.90    2.90    2.80    2.80    2.70    2.70    2.60    2.60    2.50    2.50    2.50    2.40    2.40    2.40    2.40    2.40    2.30    2.20    2.20    2.20    2.20    2.10    2.10    2.00    1.90    1.90    1.90    1.80    1.80    1.70    1.60    1.60    1.60    1.60    1.50    1.50    1.40    1.40    1.40
  18.50      3.30    3.20    3.20    3.10    3.10    3.10    3.00    3.00    3.00    2.90    2.90    2.80    2.80    2.70    2.70    2.60    2.60    2.50    2.50    2.50    2.40    2.40    2.40    2.40    2.40    2.30    2.20    2.20    2.20    2.20    2.20    2.00    2.00    1.90    1.90    1.90    1.90    1.80    1.70    1.60    1.60    1.60    1.60    1.60    1.50    1.40    1.40
  18.75      3.30    3.20    3.20    3.20    3.10    3.10    3.00    3.00    3.00    2.90    2.90    2.90    2.80    2.80    2.70    2.70    2.60    2.60    2.60    2.50    2.50    2.50    2.50    2.50    2.40    2.30    2.30    2.30    2.30    2.20    2.20    2.10    2.00    2.00    2.00    2.00    1.90    1.80    1.80    1.70    1.70    1.70    1.60    1.60    1.50    1.50    1.50
  19.00      3.30    3.30    3.20    3.20    3.20    3.10    3.10    3.00    3.00    3.00    3.00    2.90    2.90    2.80    2.80    2.70    2.70    2.60    2.60    2.60    2.50    2.50    2.50    2.50    2.50    2.40    2.40    2.30    2.30    2.30    2.30    2.10    2.10    2.00    2.00    2.00    1.90    1.80    1.80    1.70    1.70    1.70    1.70    1.70    1.60    1.50    1.50
  19.25      3.40    3.30    3.30    3.20    3.20    3.20    3.10    3.10    3.10    3.00    3.00    3.00    2.90    2.90    2.80    2.80    2.70    2.70    2.70    2.60    2.60    2.60    2.60    2.60    2.50    2.40    2.40    2.40    2.40    2.30    2.30    2.20    2.10    2.10    2.10    2.10    2.00    1.90    1.90    1.80    1.80    1.80    1.70    1.70    1.70    1.60    1.60
  19.50      3.40    3.40    3.30    3.30    3.30    3.20    3.20    3.10    3.10    3.10    3.10    3.00    3.00    2.90    2.90    2.80    2.80    2.70    2.70    2.70    2.70    2.60    2.60    2.60    2.60    2.50    2.50    2.40    2.40    2.40    2.40    2.20    2.20    2.20    2.20    2.10    2.10    2.00    1.90    1.90    1.90    1.90    1.80    1.80    1.70    1.70    1.60
  19.75      3.50    3.40    3.40    3.30    3.30    3.30    3.20    3.20    3.20    3.10    3.10    3.10    3.00    3.00    2.90    2.90    2.90    2.80    2.80    2.70    2.70    2.70    2.70    2.70    2.60    2.50    2.50    2.50    2.50    2.40    2.40    2.30    2.20    2.20    2.20    2.20    2.20    2.00    2.00    1.90    1.90    1.90    1.90    1.90    1.80    1.80    1.70
  20.00      3.50    3.50    3.40    3.40    3.40    3.30    3.30    3.20    3.20    3.20    3.20    3.10    3.10    3.00    3.00    3.00    2.90    2.90    2.80    2.80    2.80    2.80    2.80    2.80    2.70    2.60    2.60    2.60    2.50    2.50    2.50    2.40    2.30    2.30    2.30    2.30    2.20    2.10    2.10    2.00    2.00    2.00    2.00    2.00    1.90    1.90    1.80
  20.25      3.60    3.50    3.50    3.40    3.40    3.40    3.30    3.30    3.30    3.20    3.20    3.20    3.20    3.10    3.10    3.00    3.00    3.00    2.90    2.90    2.90    2.80    2.80    2.80    2.80    2.70    2.70    2.60    2.60    2.60    2.60    2.50    2.40    2.40    2.40    2.40    2.30    2.20    2.20    2.10    2.10    2.10    2.10    2.10    2.00    2.00    1.90
  20.50      3.60    3.50    3.50    3.50    3.50    3.40    3.40    3.30    3.30    3.30    3.30    3.20    3.20    3.20    3.20    3.10    3.10    3.00    3.00    3.00    2.90    2.90    2.90    2.90    2.80    2.80    2.80    2.70    2.70    2.70    2.60    2.50    2.50    2.50    2.50    2.50    2.40    2.30    2.30    2.20    2.20    2.20    2.20    2.20    2.10    2.10    2.00
  20.75      3.70    3.60    3.50    3.50    3.50    3.50    3.40    3.40    3.40    3.30    3.30    3.30    3.30    3.20    3.20    3.10    3.10    3.10    3.00    3.00    3.00    3.00    3.00    3.00    2.90    2.80    2.80    2.80    2.80    2.70    2.70    2.60    2.60    2.60    2.60    2.60    2.50    2.40    2.30    2.30    2.30    2.30    2.30    2.20    2.20    2.10    2.10
  21.00      3.70    3.60    3.60    3.60    3.50    3.50    3.50    3.40    3.40    3.40    3.40    3.30    3.30    3.30    3.30    3.20    3.20    3.10    3.10    3.10    3.00    3.00    3.00    3.00    3.00    2.90    2.90    2.90    2.80    2.80    2.80    2.70    2.70    2.70    2.70    2.60    2.60    2.50    2.40    2.40    2.30    2.30    2.30    2.30    2.20    2.20    2.20
  21.25      3.70    3.60    3.60    3.60    3.60    3.50    3.50    3.40    3.40    3.40    3.40    3.40    3.40    3.30    3.30    3.20    3.20    3.20    3.10    3.10    3.10    3.10    3.10    3.10    3.00    2.90    2.90    2.90    2.90    2.90    2.80    2.80    2.70    2.70    2.70    2.70    2.70    2.60    2.50    2.40    2.40    2.40    2.40    2.30    2.30    2.30    2.30
  21.50      3.80    3.70    3.60    3.60    3.60    3.60    3.50    3.50    3.50    3.50    3.50    3.40    3.40    3.40    3.40    3.30    3.30    3.20    3.20    3.20    3.20    3.10    3.10    3.10    3.10    3.00    3.00    2.90    2.90    2.90    2.90    2.80    2.80    2.80    2.80    2.70    2.70    2.60    2.50    2.50    2.40    2.40    2.40    2.40    2.30    2.30    2.30
  21.75      3.80    3.70    3.70    3.70    3.60    3.60    3.60    3.50    3.50    3.50    3.50    3.50    3.50    3.40    3.40    3.30    3.30    3.30    3.20    3.20    3.20    3.20    3.20    3.20    3.20    3.10    3.10    3.00    3.00    3.00    3.00    2.90    2.90    2.90    2.90    2.80    2.80    2.70    2.60    2.50    2.50    2.50    2.50    2.50    2.40    2.40    2.40
  22.00      3.80    3.80    3.70    3.70    3.70    3.70    3.60    3.60    3.60    3.60    3.60    3.50    3.50    3.50    3.40    3.40    3.40    3.30    3.30    3.30    3.30    3.30    3.30    3.30    3.20    3.10    3.10    3.10    3.10    3.10    3.10    3.00    3.00    3.00    3.00    2.90    2.90    2.80    2.70    2.60    2.60    2.60    2.60    2.60    2.60    2.50    2.50
  22.25      3.90    3.80    3.80    3.80    3.70    3.70    3.70    3.70    3.60    3.60    3.60    3.60    3.60    3.50    3.50    3.40    3.40    3.40    3.30    3.30    3.30    3.30    3.30    3.30    3.30    3.20    3.20    3.20    3.20    3.20    3.20    3.10    3.00    3.00    3.00    3.00    3.00    2.90    2.80    2.70    2.70    2.70    2.70    2.70    2.70    2.60    2.60
  22.50      3.90    3.80    3.80    3.80    3.80    3.80    3.70    3.70    3.70    3.70    3.70    3.60    3.60    3.60    3.60    3.50    3.50    3.50    3.40    3.40    3.40    3.40    3.40    3.40    3.40    3.30    3.30    3.20    3.20    3.20    3.20    3.10    3.10    3.10    3.10    3.10    3.10    3.00    2.90    2.80    2.80    2.80    2.80    2.80    2.80    2.70    2.70
  22.75      4.00    3.90    3.90    3.80    3.80    3.80    3.80    3.80    2.70    2.70    2.70    3.70    3.70    3.70    3.60    3.60    3.60    3.60    3.50    3.50    3.50    3.50    3.50    3.50    3.50    3.40    3.40    3.30    3.30    3.30    3.30    3.20    3.20    3.20    3.20    3.20    3.20    3.10    3.00    2.90    2.90    2.90    2.90    2.90    2.90    2.80    2.80
  23.00      4.00    3.90    3.90    3.90    3.90    3.90    3.80    3.80    3.80    3.80    3.80    3.80    3.70    3.70    3.70    3.60    3.60    3.60    3.60    3.60    3.60    3.60    3.60    3.60    3.60    3.50    3.50    3.40    3.40    3.40    3.40    3.30    3.30    3.30    3.30    3.30    3.30    3.20    3.10    3.00    3.00    3.00    3.00    3.00    3.00    2.90    2.90
  23.25      4.10    4.00    4.00    3.90    3.90    3.90    3.90    3.90    3.80    3.80    3.80    3.80    3.80    3.80    3.80    3.70    3.70    3.70    3.70    3.70    3.70    3.70    3.70    3.70    3.60    3.50    3.50    3.50    3.50    3.50    3.50    3.40    3.30    3.30    3.30    3.30    3.30    3.30    3.20    3.10    3.10    3.10    3.10    3.10    3.10    3.00    3.00
  23.50      4.10    4.00    4.00    4.00    4.00    4.00    3.90    3.90    3.90    3.90    3.90    3.90    3.80    3.80    3.80    3.80    3.80    3.80    3.80    3.70    3.70    3.70    3.70    3.70    3.70    3.60    3.60    3.60    3.60    3.60    3.50    3.50    3.40    3.40    3.40    3.40    3.40    3.40    3.30    3.20    3.20    3.20    3.20    3.20    3.20    3.10    3.10
  23.75      4.10    4.00    4.00    4.00    4.00    4.00    4.00    3.90    3.90    3.90    3.90    3.90    3.90    3.90    3.90    3.80    3.80    3.80    3.80    3.80    3.80    3.80    3.80    3.80    3.70    3.70    3.70    3.60    3.60    3.60    3.60    3.60    3.50    3.50    3.50    3.40    3.50    3.50    3.40    3.30    3.20    3.20    3.20    3.20    3.20    3.20    3.10
  24.00      4.20    4.10    4.10    4.00    4.00    4.00    4.00    4.00    4.00    4.00    4.00    3.90    3.90    3.90    3.90    3.90    3.90    3.90    3.90    3.80    3.80    3.80    3.80    3.80    3.80    3.70    3.70    3.70    3.70    3.70    3.60    3.60    3.50    3.50    3.50    3.50    3.50    3.50    3.40    3.30    3.30    3.30    3.30    3.30    3.30    3.30    3.20
  24.25      4.20    4.10    4.10    4.10    4.10    4.10    4.10    4.00    4.00    4.00    4.00    4.00    4.00    4.00    4.00    3.90    3.90    3.90    3.90    3.90    3.90    3.90    3.90    3.90    3.90    3.80    3.80    3.80    3.80    3.80    3.70    3.70    3.60    3.60    3.60    3.60    3.60    3.60    3.50    3.40    3.40    3.40    3.40    3.40    3.40    3.40    3.30
  24.50      4.20    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.00    4.00    4.00    4.00    4.00    4.00    4.00    3.90    3.90    3.90    3.90    3.90    3.90    3.80    3.80    3.80    3.80    3.80    3.80    3.80    3.70    3.70    3.70    3.70    3.70    3.70    3.60    3.50    3.50    3.50    3.50    3.50    3.50    3.50    3.40
  24.75      4.30    4.20    4.20    4.20    4.20    4.20    4.20    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.00    4.00    4.00    4.00    4.00    4.00    4.00    4.00    4.00    4.00    4.00    3.90    3.90    3.90    3.90    3.90    3.90    3.90    3.80    3.80    3.80    3.80    3.80    3.80    3.70    3.60    3.60    3.60    3.60    3.60    3.60    3.60    3.50
  25.00      4.30    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.00    4.00    4.00    4.00    4.00    4.00    4.00    4.00    4.00    4.00    4.00    3.90    3.90    3.90    3.90    3.90    3.90    3.80    3.80    3.80    3.80    3.80    3.80    3.80    3.80    3.70
  25.25      4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.10    4.00    4.00    4.00    4.00    4.00    4.00    3.90    3.90    3.90    3.90    3.90    3.90    3.90    3.90    3.80
  25.50      4.40    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.10    4.10    4.10    4.10    4.10    4.10    4.00    4.00    4.00    4.00    4.00    4.00    4.00    4.00    3.90
  25.75      4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.20    4.20    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.20    4.10
  26.00      4.50    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.30    4.30    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.20
  26.25      4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.40    4.40    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.40    4.30
  26.50      4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.50    4.40
